CapTime,Status,Free,Total
28/01/2022-16:57,Open,0118,0460,
28/01/2022-17:02,Open,0116,0460,
28/01/2022-17:07,Open,0118,0460,
28/01/2022-17:12,Open,0121,0460,
28/01/2022-17:17,Open,0125,0460,
28/01/2022-17:22,Open,0124,0460,
28/01/2022-17:27,Open,0130,0460,
28/01/2022-17:32,Open,0132,0460,
28/01/2022-17:37,Open,0132,0460,
28/01/2022-17:42,Open,0131,0460,
28/01/2022-17:47,Open,0129,0460,
28/01/2022-17:52,Open,0130,0460,
28/01/2022-17:57,Open,0133,0460,
28/01/2022-18:02,Open,0133,0460,
28/01/2022-18:07,Open,0132,0460,
28/01/2022-18:12,Open,0130,0460,
28/01/2022-18:17,Open,0129,0460,
28/01/2022-18:22,Open,0130,0460,
28/01/2022-18:27,Open,0136,0460,
28/01/2022-18:32,Open,0135,0460,
28/01/2022-18:37,Open,0134,0460,
28/01/2022-18:42,Open,0130,0460,
28/01/2022-18:47,Open,0134,0460,
28/01/2022-18:52,Open,0131,0460,
28/01/2022-18:57,Open,0133,0460,
28/01/2022-19:02,Open,0129,0460,
28/01/2022-19:07,Open,0128,0460,
28/01/2022-19:12,Open,0124,0460,
28/01/2022-19:17,Open,0126,0460,
28/01/2022-19:23,Open,0128,0460,
28/01/2022-19:28,Open,0123,0460,
28/01/2022-19:33,Open,0123,0460,
28/01/2022-19:38,Open,0120,0460,
